3872	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]		CROMER_TUMORIGENESIS_UP								
4843	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]						WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION				
5746	PTH2R	parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]										
1056	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]										
4948	OCA2	OCA2 melanosomal transmembrane protein [Source:HGNC Symbol;Acc:HGNC:8101]										
1592	CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]										
339512	CCDC190	coiled-coil domain containing 190 [Source:HGNC Symbol;Acc:HGNC:28736]										
3237	HOXD11	homeobox D11 [Source:HGNC Symbol;Acc:HGNC:5134]										
6783	SULT1E1	sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]										
28234	SLCO1B3	solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]										
144193	AMDHD1	amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577]										
57718	PPP4R4	protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]										
23532	PRAME	PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]										
102723547	CSAG2	CSAG family member 2 [Source:HGNC Symbol;Acc:HGNC:16847]										
8403	SOX14	SRY-box transcription factor 14 [Source:HGNC Symbol;Acc:HGNC:11193]										
644524	NKX2-4	NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]										
1380	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]										
154664	ABCA13	ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638]										
286464	CFAP47	cilia and flagella associated protein 47 [Source:HGNC Symbol;Acc:HGNC:26708]										
55124	PIWIL2	piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]										
7038	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]										
10388	SYCP2	synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]										
254528	MEIOB	meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]										
344905	ATP13A5	ATPase 13A5 [Source:HGNC Symbol;Acc:HGNC:31789]										
115072896	SLCO1B3-SLCO1B7	SLCO1B3-SLCO1B7 readthrough [Source:HGNC Symbol;Acc:HGNC:54403]										
